Name,Street Address,Road,City,State,Brewery License,License Date,Status,Address
The Blue Onion,423,S INTERNATIONAL BOULEVARD,WESLACO,TX,Brewpub,4/3/2007,Open,"423 S INTERNATIONAL BOULEVARD, WESLACO, TX"
The Brewery,429,N ALISTER STREET,PORT ARANSAS,TX,Brewpub,12/17/2015,Open,"429 N ALISTER STREET, PORT ARANSAS, TX"
The Brewery Lbk,1204,BROADWAY,LUBBOCK,TX,Brewpub,10/20/2014,Open,"1204 BROADWAY, LUBBOCK, TX"
The Brewtorium,6015,DILLARD CIRCLE SUITE A,AUSTIN,TX,Brewpub,4/3/2017,Open,"6015 DILLARD CIRCLE SUITE A, AUSTIN, TX"
The Collective Brewing Project,112,ST LOUIS AVENUE,FORT WORTH,TX,Brewpub,8/14/2014,Open,"112 ST LOUIS AVENUE, FORT WORTH, TX"
The Dodging Duck Brewhaus,402,RIVER ROAD,BOERNE,TX,Brewpub,2/5/2002,Open,"402 RIVER ROAD, BOERNE, TX"
The Draught House Pub,4112,MEDICAL PARKWAY 1ST FLOOR,AUSTIN,TX,Brewpub,4/6/1999,Open,"4112 MEDICAL PARKWAY 1ST FLOOR, AUSTIN, TX"
The Faust Hotel & Brewing Co.,499,S CASTELL AVENUE,NEW BRAUNFELS,TX,Brewpub,1/14/2015,Open,"499 S CASTELL AVENUE, NEW BRAUNFELS, TX"
The Moon Tower Inn,3004,CANAL STREET,HOUSTON,TX,Brewpub,8/19/2010,Open,"3004 CANAL STREET, HOUSTON, TX"
The Phoenix On Westheimer,1915,WESTHEIMER ROAD,HOUSTON,TX,Brewpub,1/11/2007,Open,"1915 WESTHEIMER ROAD, HOUSTON, TX"
The Shade Tree Saloon And Grill,13430,HWY 281 NORTH,SPRING BRANCH,TX,Brewpub,7/26/2016,Open,"13430 HWY 281 NORTH, SPRING BRANCH, TX"
The Triple J Chophouse & Brew Co.,1807,BUDDY HOLLY AVENUE,LUBBOCK,TX,Brewpub,8/4/2006,Open,"1807 BUDDY HOLLY AVENUE, LUBBOCK, TX"
Three Nails Brewery,212,N OAK,ROANOKE,TX,Brewpub,3/13/2018,In the works,"212 N OAK, ROANOKE, TX"
TKO Libations,2520,KING ARTHUR BOULEVARD '109',LEWISVILLE,TX,Brewpub,2/14/2017,Open,"2520 KING ARTHUR BOULEVARD '109', LEWISVILLE, TX"
Truck Yard/Beard Science,5959,GROVE LANE,THE COLONY,TX,Brewpub,11/8/2018,In the works,"5959 GROVE LANE, THE COLONY, TX"
True Anomaly Brewing Company,2012,DALLAS STREET,HOUSTON,TX,Brewpub,10/16/2018,Open,"2012 DALLAS STREET, HOUSTON, TX"
Turning Point Beer,1307,BROWN TRAIL,BEDFORD,TX,Brewpub,1/12/2018,Open,"1307 BROWN TRAIL, BEDFORD, TX"
Tusculum Brewing Company,236,S MAIN STREET,BOERNE,TX,Brewpub,8/13/2018,Open,"236 S MAIN STREET, BOERNE, TX"
Twin Peaks,1500,MARKET PLACE,IRVING,TX,Brewpub,3/19/2013,Open,"1500 MARKET PLACE, IRVING, TX"
Twisted Acre Brewery,16103,GRANT ROAD SPACE J,CYPRESS,TX,Brewpub,2/8/2018,Open,"16103 GRANT ROAD SPACE J, CYPRESS, TX"
Two Wheel Brewing Company,535,LOOP 4 SOUTH,BUDA,TX,Brewpub,10/27/2016,Open,"535 LOOP 4 SOUTH, BUDA, TX"
Uncle Buck's Brewery & Steak House,2501,BASS PRO DRIVE SUITE 100,GRAPEVINE,TX,Brewpub,4/27/2007,Open,"2501 BASS PRO DRIVE SUITE 100, GRAPEVINE, TX"
Union Bear,5880,HWY 121 SUITE 101,PLANO,TX,Brewpub,7/28/2017,Open,"5880 HWY 121 SUITE 101, PLANO, TX"
Unlawful Assembly Brewing,7800,WINDROSE AVENUE,PLANO,TX,Brewpub,9/22/2017,Open,"7800 WINDROSE AVENUE, PLANO, TX"
Vallensons Brewing Company,4081,RICE DRIER ROAD,PEARLAND,TX,Brewpub,1/10/2017,Open,"4081 RICE DRIER ROAD, PEARLAND, TX"
Vista Brewing,13551,FM 150 WEST,DRIFTWOOD,TX,Brewpub,1/5/2018,Open,"13551 FM 150 WEST, DRIFTWOOD, TX"
Waco Ale Company,806,AUSTIN AVENUE,WACO,TX,Brewpub,12/12/2018,In the works,"806 AUSTIN AVENUE, WACO, TX"
Walking Beam Brewing Co.,1019,HALSELL STREET,BRIDGEPORT,TX,Brewpub,11/6/2018,Open,"1019 HALSELL STREET, BRIDGEPORT, TX"
Walking Stick Brewing Company Inc,956,JUDIWAY STREET,HOUSTON,TX,Brewpub,10/25/2016,Open,"956 JUDIWAY STREET, HOUSTON, TX"
Weathered Souls Brewing Company,606,EMBASSY OAKS SUITES 350 & 500,SAN ANTONIO,TX,Brewpub,5/17/2016,Open,"606 EMBASSY OAKS SUITES 350 & 500, SAN ANTONIO, TX"
White Rock Alehouse & Brewery,7331,GASTON AVENUE SUITE 100,DALLAS,TX,Brewpub,43048,Open,"7331 GASTON AVENUE SUITE 100, DALLAS, TX"
Whitestone Brewery,601,E WHITESTONE BOULEVARD,CEDAR PARK,TX,Brewpub,42151,Open,"601 E WHITESTONE BOULEVARD, CEDAR PARK, TX"
Whole Foods Market Brewing Company,1700,POST OAK BOULEVARD,HOUSTON,TX,Brewpub,41779,Open,"1700 POST OAK BOULEVARD, HOUSTON, TX"
Wichita Falls Brewing Company,701,INDIANA AVENUE,WICHITA FALLS,TX,Brewpub,42801,Open,"701 INDIANA AVENUE, WICHITA FALLS, TX"
Wicked Boxer Brewing,16326,MUESCHKE SUITE E-10,CYPRESS,TX,Brewpub,42906,Open,"16326 MUESCHKE SUITE E-10, CYPRESS, TX"
Wimberley Brewing Company,9595,RR 12 SUITE 9,WIMBERLEY,TX,Brewpub,39517,Open,"9595 RR 12 SUITE 9, WIMBERLEY, TX"
Zero One Ale House,20,W BEAUREGARD AVENUE,SAN ANGELO,TX,Brewpub,40941,Open,"20 W BEAUREGARD AVENUE, SAN ANGELO, TX"
Humperdinks Greenville,6050,Greenville Ave,DALLAS,TX,Brewpub,,Closed,"6050 Greenville Ave, Dallas, TX"
